epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.37479,2.61043,3.30369,2.29254,0.40334,0.39901,0.2977,0.13587,1.8911,2.10586,1.8307,4e-05,4e-05,4e-05
2,6.93056,2.67154,3.50778,2.13692,0.56366,0.50739,0.48123,0.25019,1.71935,1.4899,1.72101,9.802e-05,9.802e-05,9.802e-05
3,9.51413,2.27975,2.44226,1.90702,0.68769,0.65082,0.63985,0.34819,1.5581,1.51211,1.5839,0.000153664,0.000153664,0.000153664
4,12.129,1.6157,1.39798,1.36937,0.5583,0.49754,0.55858,0.31487,1.51835,4.12025,1.52661,0.000206932,0.000206932,0.000206932
5,14.5544,1.48884,1.18749,1.30306,0.47514,0.55665,0.59731,0.36108,1.34921,4.95865,1.3956,0.000257824,0.000257824,0.000257824
6,17.1414,1.38513,1.11076,1.19224,0.50025,0.61084,0.62416,0.37298,1.31795,4.34509,1.32078,0.00030634,0.00030634,0.00030634
7,19.7766,1.37428,1.13168,1.20233,0.55144,0.74384,0.68741,0.40967,1.26046,3.02732,1.29909,0.00035248,0.00035248,0.00035248
8,22.329,1.24662,1.07666,1.17739,0.62614,0.75901,0.72072,0.44665,1.19708,2.35681,1.26538,0.000396244,0.000396244,0.000396244
9,24.8991,1.32522,1.09765,1.20172,0.76596,0.76355,0.78498,0.52178,1.08204,1.48414,1.21346,0.000437632,0.000437632,0.000437632
10,27.4225,1.30311,1.07566,1.20005,0.77742,0.77427,0.8088,0.54116,1.08185,1.38745,1.21433,0.000476644,0.000476644,0.000476644
11,29.9692,1.10019,0.97287,1.1377,0.79557,0.8052,0.84723,0.55219,1.15621,1.16755,1.23895,0.00051328,0.00051328,0.00051328
12,32.4941,1.11061,0.92904,1.11784,0.81083,0.80296,0.86352,0.57974,1.08473,1.03874,1.18304,0.00054754,0.00054754,0.00054754
13,35.0925,1.17936,0.99305,1.14743,0.80933,0.80296,0.86569,0.59984,1.05037,1.00937,1.17151,0.000579424,0.000579424,0.000579424
14,37.72,1.19152,0.98447,1.15063,0.80933,0.81281,0.86537,0.60865,1.03125,1.0497,1.16504,0.000608932,0.000608932,0.000608932
15,40.2078,1.1137,0.95224,1.14662,0.81852,0.79985,0.86199,0.60359,1.03273,1.18005,1.16981,0.000636064,0.000636064,0.000636064
