epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.68473,2.39262,2.47601,2.20479,0.6981,0.55057,0.64758,0.32826,1.77967,1.36676,1.85372,0.0001,0.0001,0.0001
2,11.6285,1.90372,1.78704,1.79629,0.47051,0.54485,0.47655,0.18847,2.14601,5.03074,2.11792,0.000215644,0.000215644,0.000215644
3,16.5179,1.51626,1.19195,1.53881,0.5691,0.59496,0.57019,0.28633,1.60763,2.72268,1.62467,0.000326536,0.000326536,0.000326536
4,21.3667,1.4327,1.16828,1.48674,0.75574,0.66461,0.7494,0.42423,1.45164,1.70967,1.54127,0.000432676,0.000432676,0.000432676
5,26.4503,1.3564,1.15705,1.42806,0.74163,0.67049,0.74239,0.44536,1.36458,1.68394,1.47913,0.000534064,0.000534064,0.000534064
6,31.504,1.36095,1.08683,1.40894,0.74399,0.69447,0.74342,0.43543,1.47676,1.22359,1.50884,0.0006307,0.0006307,0.0006307
7,36.3238,1.33795,1.04571,1.39513,0.75483,0.72993,0.76427,0.44407,1.40204,1.47238,1.54196,0.000722584,0.000722584,0.000722584
8,41.155,1.3591,1.09126,1.41851,0.74732,0.63532,0.73846,0.41316,1.49279,1.37511,1.56165,0.000809716,0.000809716,0.000809716
9,45.9818,1.33045,1.03822,1.38944,0.56084,0.49672,0.51778,0.24652,1.83357,1.545,1.64685,0.000892096,0.000892096,0.000892096
10,50.8162,1.31004,1.07127,1.38908,0.34967,0.36392,0.29822,0.12684,2.23713,2.20734,2.01944,0.000969724,0.000969724,0.000969724
11,55.6847,1.29842,1.02211,1.38469,0.78625,0.61105,0.71161,0.40939,1.50718,1.2811,1.51601,0.0010426,0.0010426,0.0010426
