epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.95132,2.07609,2.87367,1.98608,0.67851,0.49935,0.45166,0.23971,1.40759,15.8397,1.41167,0.0002,0.0002,0.0002
2,18.1908,1.63237,1.83786,1.61483,0.47529,0.4732,0.41944,0.20187,1.74163,5.25432,2.02435,0.000411684,0.000411684,0.000411684
3,26.3077,1.59165,1.58512,1.58405,0.17695,0.1634,0.07898,0.02421,3.56791,6.08937,5.12717,0.000614656,0.000614656,0.000614656
4,34.5487,1.62367,1.51357,1.5676,0.31169,0.28235,0.14729,0.05521,2.2474,27.7879,2.71684,0.000808916,0.000808916,0.000808916
5,42.6989,1.66808,1.50697,1.6519,0.02463,0.14379,0.00927,0.00246,3.48809,36.6174,4.90066,0.000994464,0.000994464,0.000994464
6,50.8343,1.70028,1.54704,1.69791,0.07824,0.10785,0.02069,0.00662,3.46455,16.2503,3.62564,0.0011713,0.0011713,0.0011713
7,58.953,1.7423,1.57938,1.69933,0.0777,0.17255,0.04756,0.01516,3.12341,14.5958,3.42149,0.00133942,0.00133942,0.00133942
8,67.0475,1.6411,1.48805,1.64686,0.01183,0.02745,0.00216,0.00062,4.69434,6.62012,5.0143,0.00149884,0.00149884,0.00149884
9,75.0429,1.64956,1.57095,1.63866,0.01079,0.04183,0.00754,0.00275,4.22121,6.9094,4.66969,0.00164954,0.00164954,0.00164954
10,83.1103,1.60066,1.48112,1.61608,0.00619,0.16471,0.00342,0.00106,3.63594,52.3861,4.1387,0.0016436,0.0016436,0.0016436
11,91.2059,1.59235,1.43837,1.59716,0.2512,0.22484,0.12469,0.04093,2.48509,5.60569,2.68229,0.001604,0.001604,0.001604
12,99.3524,1.57984,1.4112,1.58074,0.09177,0.15033,0.03594,0.01038,2.994,5.91459,3.09849,0.0015644,0.0015644,0.0015644
13,107.523,1.54154,1.37787,1.58022,0.25016,0.38039,0.17924,0.07413,2.00132,7.31917,2.29582,0.0015248,0.0015248,0.0015248
14,115.638,1.55933,1.37341,1.57141,0.14823,0.20261,0.08373,0.01778,3.0827,4.51165,3.06293,0.0014852,0.0014852,0.0014852
15,123.744,1.47411,1.32551,1.52121,0.39352,0.33203,0.31182,0.13869,2.12943,3.10555,2.13046,0.0014456,0.0014456,0.0014456
16,132.22,1.4885,1.34731,1.53316,0.49932,0.44575,0.44179,0.20554,1.82334,2.5807,1.91293,0.001406,0.001406,0.001406
17,140.273,1.43656,1.32583,1.5303,0.56593,0.41176,0.43408,0.1831,1.9576,2.79584,2.07367,0.0013664,0.0013664,0.0013664
18,148.42,1.43056,1.24959,1.50183,0.68804,0.52941,0.58815,0.32325,1.52462,2.46884,1.75262,0.0013268,0.0013268,0.0013268
19,156.666,1.37344,1.22662,1.46706,0.44619,0.41176,0.34603,0.15578,2.07831,2.6248,2.18415,0.0012872,0.0012872,0.0012872
20,164.776,1.4181,1.20741,1.48251,0.80096,0.44967,0.54453,0.26314,1.85879,1.70931,1.96294,0.0012476,0.0012476,0.0012476
21,172.858,1.34075,1.18171,1.44261,0.80186,0.58191,0.67716,0.37859,1.5476,1.44291,1.73365,0.001208,0.001208,0.001208
22,181.135,1.39883,1.23945,1.46969,0.7548,0.58431,0.65395,0.38021,1.46428,1.83623,1.64515,0.0011684,0.0011684,0.0011684
23,189.416,1.36929,1.21042,1.43675,0.73056,0.57778,0.64467,0.36708,1.4786,1.56748,1.62151,0.0011288,0.0011288,0.0011288
24,197.475,1.37449,1.21718,1.4482,0.76515,0.61438,0.70347,0.42871,1.37226,1.56783,1.54481,0.0010892,0.0010892,0.0010892
25,205.742,1.2883,1.13718,1.4087,0.71433,0.61569,0.68094,0.42331,1.37688,1.91447,1.54288,0.0010496,0.0010496,0.0010496
26,213.876,1.27748,1.12054,1.38488,0.79734,0.59216,0.70157,0.4393,1.3477,1.37584,1.5186,0.00101,0.00101,0.00101
27,222.105,1.29325,1.08889,1.40437,0.7474,0.5268,0.63917,0.34806,1.59693,1.55876,1.65227,0.0009704,0.0009704,0.0009704
28,230.185,1.31675,1.14954,1.41903,0.85232,0.67059,0.78087,0.48571,1.25036,1.24966,1.39808,0.0009308,0.0009308,0.0009308
29,238.433,1.26642,1.09472,1.38244,0.81995,0.67451,0.77708,0.51182,1.18078,1.06883,1.33909,0.0008912,0.0008912,0.0008912
30,246.688,1.22039,1.04761,1.34722,0.84459,0.70327,0.79207,0.52384,1.177,1.07106,1.35536,0.0008516,0.0008516,0.0008516
31,255.226,1.18562,1.02928,1.31586,0.8686,0.6902,0.80084,0.54212,1.13138,1.02098,1.32141,0.000812,0.000812,0.000812
32,263.466,1.19415,1.01168,1.33315,0.72683,0.56601,0.6562,0.40673,1.41662,1.20995,1.58126,0.0007724,0.0007724,0.0007724
33,271.561,1.2045,1.02826,1.33655,0.81016,0.62876,0.73505,0.47479,1.26037,1.14436,1.46045,0.0007328,0.0007328,0.0007328
34,279.646,1.20007,1.02499,1.35792,0.84942,0.65752,0.78821,0.53164,1.15336,1.01502,1.32802,0.0006932,0.0006932,0.0006932
35,287.669,1.0782,0.94791,1.26306,0.89525,0.64314,0.78934,0.55717,1.08898,0.97018,1.29064,0.0006536,0.0006536,0.0006536
36,295.938,1.15136,0.97185,1.31343,0.8813,0.71821,0.84187,0.59709,1.04234,0.91263,1.25033,0.000614,0.000614,0.000614
37,304.133,1.12584,0.96148,1.30271,0.8728,0.73725,0.8599,0.64249,0.94643,0.82719,1.20332,0.0005744,0.0005744,0.0005744
38,312.342,1.13683,0.98169,1.31158,0.92681,0.7268,0.86866,0.62699,0.99302,0.83021,1.20189,0.0005348,0.0005348,0.0005348
39,320.43,1.05748,0.89735,1.2514,0.91717,0.74771,0.87731,0.64748,0.93187,0.77881,1.18728,0.0004952,0.0004952,0.0004952
40,328.723,1.08449,0.921,1.2754,0.94175,0.73971,0.87702,0.64758,0.92818,0.77165,1.20198,0.0004556,0.0004556,0.0004556
41,337.893,1.0447,0.9952,1.22872,0.86206,0.77605,0.87488,0.65324,0.909,0.77092,1.18632,0.000416,0.000416,0.000416
42,346.251,0.96406,0.86005,1.19506,0.7934,0.74296,0.8355,0.60976,0.96861,0.86917,1.21263,0.0003764,0.0003764,0.0003764
43,354.353,0.93306,0.83229,1.17993,0.91268,0.72026,0.86908,0.65932,0.86887,0.77452,1.15549,0.0003368,0.0003368,0.0003368
44,362.661,0.9215,0.77318,1.16217,0.87767,0.80915,0.89684,0.6695,0.86965,0.73199,1.13551,0.0002972,0.0002972,0.0002972
45,371.33,0.92149,0.76845,1.16758,0.90381,0.82295,0.90936,0.69713,0.82982,0.69998,1.11416,0.0002576,0.0002576,0.0002576
46,379.605,0.89269,0.74865,1.16348,0.94045,0.81699,0.9212,0.72133,0.77559,0.64626,1.09792,0.000218,0.000218,0.000218
47,387.854,0.88032,0.69615,1.11441,0.93048,0.83268,0.9253,0.72692,0.75973,0.61715,1.08218,0.0001784,0.0001784,0.0001784
48,396.208,0.87447,0.69912,1.15472,0.93721,0.84444,0.93261,0.73738,0.74855,0.59788,1.08118,0.0001388,0.0001388,0.0001388
49,404.485,0.8461,0.70094,1.13453,0.95943,0.8347,0.93365,0.74113,0.73504,0.59148,1.07868,9.92e-05,9.92e-05,9.92e-05
50,412.803,0.82383,0.67148,1.10859,0.96553,0.8366,0.93704,0.74393,0.72917,0.58776,1.0765,5.96e-05,5.96e-05,5.96e-05
